"","newid","std_lname","std_f2initial","chamber","gender","state_abb","district","party_abb","SW_politician_name","congress.gov_politician_name","icpsr_politician_id","govtrack_id","fec_candidate_id","congress.gov_terms","first_yr_in_congress","last_year_in_congress","congress_num","congress_begin_yr","congress_end_yr","icpsr_com_name","icpsr_com_id","lobbyview_com_id","maj_min","rank_within_party","senior_party_member","com_seniority","com_period_of_service","notes"
"26",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,104,1995,1996,"Commerce, science, and transportation",321,21,4,11,0,1,2,NA
"27",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,104,1995,1996,"Judiciary",358,7,1,10,0,1,2,NA
"28",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,104,1995,1996,"Labor and human resources",362,5,1,8,0,1,2,"Resigns from Labor to move to Commerce S. Res. 245"
"29",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,105,1997,1998,"Budget",316,36,1,9,0,3,2,NA
"30",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,105,1997,1998,"Commerce, science, and transportation",321,21,1,10,0,3,2,NA
"31",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,105,1997,1998,"Judiciary",358,7,1,9,0,3,2,NA
"32",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,106,1999,2000,"Budget",316,36,1,9,0,5,2,NA
"33",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,106,1999,2000,"Commerce, science, and transportation",321,21,1,10,0,5,2,NA
"34",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,106,1999,2000,"Judiciary",358,7,1,8,0,5,2,NA
"35",3,"abraham","sp","S","M","MI",NA,"R","Abraham, Spencer","Senator Abraham, Spencer",49500,400555,NA,"Senate: 1995-2001",1995,2001,106,1999,2000,"Small business",384,26,1,10,0,1,2,NA
"36",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,107,2001,2002,"Agriculture",102,23,2,21,0,1,2,NA
"37",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,107,2001,2002,"Resources",164,16,2,20,0,1,2,NA
"38",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,107,2001,2002,"Small business",184,25,7,2,0,1,2,"To rank after Mr. Udall of Colorado (H. Res. 69)"
"39",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,108,2003,2004,"Agriculture",102,23,2,14,0,2,2,NA
"40",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,108,2003,2004,"Resources",164,16,2,18,0,2,2,NA
"41",4,"acevedo-vila","an","H","M","PR",NA,"D","Acevedo-Vila, Anibal","Representative Acevedo-Vila, Anibal",70601,400002,NA,"House: 2001-2005",2001,2005,108,2003,2004,"Small business",184,25,2,13,0,2,2,NA
"42",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,103,1993,1994,"Foreign affairs",134,50,1,6,0,6,2,NA
"43",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,103,1993,1994,"Merchant marine and fisheries",160,NA,1,28,0,1,2,NA
"44",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,103,1993,1994,"Post office and civil service",168,NA,1,4,0,6,2,NA
"45",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,104,1995,1996,"Banking and financial services",113,13,2,21,0,1,4,NA
"46",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,104,1995,1996,"International relations",134,17,2,6,0,7,2,NA
"47",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,105,1997,1998,"Banking and financial services",113,13,2,17,0,2,4,NA
"48",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,105,1997,1998,"International relations",134,17,2,5,0,8,2,NA
"49",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,106,1999,2000,"Banking and financial services",113,13,2,10,0,3,4,"No explanation"
"50",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,106,1999,2000,"Banking and financial services",113,13,7,2,0,1,5,"To rank immediately after Watt of North Carolina"
"51",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,106,1999,2000,"International relations",134,17,2,4,0,9,2,NA
"52",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,107,2001,2002,"Financial services",113,41,2,9,0,2,5,NA
"53",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,107,2001,2002,"International relations",134,17,2,3,0,10,2,NA
"54",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,108,2003,2004,"Financial services",113,41,2,9,0,3,5,NA
"55",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,108,2003,2004,"International relations",134,17,2,3,0,11,2,NA
"56",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,109,2005,2006,"Financial services",113,41,2,9,0,4,5,NA
